Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.3, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 0, loss: 2.939690, train acc: 0.350123, train avg acc: 0.175556
Test 0, loss: 2.468972, test acc: 0.489060, test avg acc: 0.348622
Train 1, loss: 2.330157, train acc: 0.579667, train avg acc: 0.377202
Test 1, loss: 2.072442, test acc: 0.669773, test avg acc: 0.528930
Train 2, loss: 2.128821, train acc: 0.660979, train avg acc: 0.485084
Test 2, loss: 1.999528, test acc: 0.720421, test avg acc: 0.589895
Train 3, loss: 2.033655, train acc: 0.700247, train avg acc: 0.545230
Test 3, loss: 1.871308, test acc: 0.781199, test avg acc: 0.666215
Train 4, loss: 1.961744, train acc: 0.727488, train avg acc: 0.590337
Test 4, loss: 1.819669, test acc: 0.790519, test avg acc: 0.680401
Train 5, loss: 1.918225, train acc: 0.751542, train avg acc: 0.624711
Test 5, loss: 1.777632, test acc: 0.812399, test avg acc: 0.721587
Train 6, loss: 1.875352, train acc: 0.769737, train avg acc: 0.649190
Test 6, loss: 1.811304, test acc: 0.798217, test avg acc: 0.707651
Train 7, loss: 1.855145, train acc: 0.774465, train avg acc: 0.660199
Test 7, loss: 1.767288, test acc: 0.824959, test avg acc: 0.735983
Train 8, loss: 1.823964, train acc: 0.792352, train avg acc: 0.685356
Test 8, loss: 1.740386, test acc: 0.816856, test avg acc: 0.749006
Train 9, loss: 1.799315, train acc: 0.798417, train avg acc: 0.697338
Test 9, loss: 1.719417, test acc: 0.837520, test avg acc: 0.740837
Train 10, loss: 1.784181, train acc: 0.808183, train avg acc: 0.713552
Test 10, loss: 1.699611, test acc: 0.846029, test avg acc: 0.781715
Train 11, loss: 1.763485, train acc: 0.817126, train avg acc: 0.723307
Test 11, loss: 1.686932, test acc: 0.833063, test avg acc: 0.747773
Train 12, loss: 1.748565, train acc: 0.818462, train avg acc: 0.723871
Test 12, loss: 1.650900, test acc: 0.859806, test avg acc: 0.782012
Train 13, loss: 1.731027, train acc: 0.829050, train avg acc: 0.739477
Test 13, loss: 1.664939, test acc: 0.853323, test avg acc: 0.799058
Train 14, loss: 1.732438, train acc: 0.824527, train avg acc: 0.732980
Test 14, loss: 1.692975, test acc: 0.822934, test avg acc: 0.756314
