Namespace(exp_name='train', dataset='modelnet40', batch_size=32, test_batch_size=32, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, model_path='', resume='/home/oem/project/RST/checkpoints/train/models/model.t7', ratio=8, use_conv=9, max_iter=6, output_dir='/home/oem/project/RST/checkpoints/path', checkpoint_path='/home/oem/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Namespace(exp_name='train', dataset='modelnet40', batch_size=32, test_batch_size=32, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 0, loss: 2.956931, train acc: 0.345888, train avg acc: 0.180249
Test 0, loss: 2.495341, test acc: 0.478120, test avg acc: 0.355488
Train 1, loss: 2.468604, train acc: 0.523514, train avg acc: 0.332212
Test 1, loss: 2.143622, test acc: 0.652755, test avg acc: 0.506983
Train 2, loss: 2.270353, train acc: 0.598636, train avg acc: 0.423368
Test 2, loss: 2.047163, test acc: 0.691653, test avg acc: 0.552837
Train 3, loss: 2.159765, train acc: 0.651568, train avg acc: 0.491282
Test 3, loss: 1.901611, test acc: 0.759319, test avg acc: 0.628430
Train 4, loss: 2.080644, train acc: 0.682716, train avg acc: 0.529463
Test 4, loss: 1.866964, test acc: 0.777958, test avg acc: 0.642308
Train 5, loss: 2.028499, train acc: 0.706230, train avg acc: 0.561204
Test 5, loss: 1.847616, test acc: 0.782820, test avg acc: 0.670674
Train 6, loss: 1.977108, train acc: 0.728624, train avg acc: 0.586829
Test 6, loss: 1.835250, test acc: 0.774311, test avg acc: 0.664994
Train 7, loss: 1.951408, train acc: 0.742366, train avg acc: 0.611353
Test 7, loss: 1.759080, test acc: 0.822528, test avg acc: 0.733401
Train 8, loss: 1.910378, train acc: 0.760485, train avg acc: 0.636789
Test 8, loss: 1.730785, test acc: 0.826985, test avg acc: 0.729360
Train 9, loss: 1.880366, train acc: 0.773005, train avg acc: 0.655243
Test 9, loss: 1.707525, test acc: 0.839141, test avg acc: 0.732331
Train 10, loss: 1.858127, train acc: 0.782166, train avg acc: 0.664857
Test 10, loss: 1.687166, test acc: 0.840762, test avg acc: 0.745517
Train 11, loss: 1.841763, train acc: 0.789699, train avg acc: 0.676930
Test 11, loss: 1.672252, test acc: 0.850081, test avg acc: 0.771110
Train 12, loss: 1.817741, train acc: 0.796722, train avg acc: 0.687717
Test 12, loss: 1.671741, test acc: 0.853323, test avg acc: 0.766680
Train 13, loss: 1.801352, train acc: 0.801303, train avg acc: 0.695185
Test 13, loss: 1.654973, test acc: 0.861021, test avg acc: 0.796733
Train 14, loss: 1.783349, train acc: 0.814638, train avg acc: 0.713940
Test 14, loss: 1.659435, test acc: 0.852107, test avg acc: 0.768994
Train 15, loss: 1.780163, train acc: 0.811584, train avg acc: 0.713717
Test 15, loss: 1.675357, test acc: 0.846840, test avg acc: 0.760797
Train 16, loss: 1.764344, train acc: 0.822577, train avg acc: 0.728665
Test 16, loss: 1.636617, test acc: 0.874392, test avg acc: 0.804802
Train 17, loss: 1.762651, train acc: 0.819320, train avg acc: 0.720577
Test 17, loss: 1.646539, test acc: 0.856159, test avg acc: 0.797593
Train 18, loss: 1.745187, train acc: 0.824715, train avg acc: 0.728187
Test 18, loss: 1.611228, test acc: 0.868720, test avg acc: 0.792767
Train 19, loss: 1.739415, train acc: 0.830822, train avg acc: 0.739823
Test 19, loss: 1.587114, test acc: 0.880065, test avg acc: 0.806262
Train 20, loss: 1.719037, train acc: 0.842223, train avg acc: 0.755500
Test 20, loss: 1.608599, test acc: 0.866288, test avg acc: 0.785035
Train 21, loss: 1.719822, train acc: 0.834589, train avg acc: 0.746588
Test 21, loss: 1.584439, test acc: 0.882496, test avg acc: 0.812645
Train 22, loss: 1.710683, train acc: 0.843445, train avg acc: 0.762627
Test 22, loss: 1.579612, test acc: 0.881686, test avg acc: 0.824174
Train 23, loss: 1.700081, train acc: 0.847313, train avg acc: 0.764276
Test 23, loss: 1.582947, test acc: 0.884117, test avg acc: 0.840006
Train 24, loss: 1.685731, train acc: 0.851486, train avg acc: 0.771940
Test 24, loss: 1.572143, test acc: 0.880470, test avg acc: 0.826721
Train 25, loss: 1.682578, train acc: 0.849247, train avg acc: 0.771428
Test 25, loss: 1.553964, test acc: 0.892626, test avg acc: 0.824669
Train 26, loss: 1.677126, train acc: 0.855660, train avg acc: 0.774894
Test 26, loss: 1.568436, test acc: 0.888979, test avg acc: 0.836017
Train 27, loss: 1.669925, train acc: 0.859222, train avg acc: 0.782506
Test 27, loss: 1.580699, test acc: 0.873987, test avg acc: 0.815070
Train 28, loss: 1.666073, train acc: 0.858917, train avg acc: 0.789074
Test 28, loss: 1.558578, test acc: 0.886953, test avg acc: 0.826122
Train 29, loss: 1.667588, train acc: 0.856474, train avg acc: 0.784231
Test 29, loss: 1.558484, test acc: 0.897893, test avg acc: 0.854221
Train 30, loss: 1.660081, train acc: 0.859833, train avg acc: 0.783072
Test 30, loss: 1.561812, test acc: 0.889384, test avg acc: 0.827593
Train 31, loss: 1.649208, train acc: 0.868282, train avg acc: 0.797055
Test 31, loss: 1.560890, test acc: 0.888574, test avg acc: 0.823756
Train 32, loss: 1.650462, train acc: 0.865330, train avg acc: 0.794379
Test 32, loss: 1.567864, test acc: 0.892626, test avg acc: 0.829942
Train 33, loss: 1.638031, train acc: 0.873677, train avg acc: 0.805486
Test 33, loss: 1.555158, test acc: 0.898703, test avg acc: 0.839087
Train 34, loss: 1.640448, train acc: 0.869910, train avg acc: 0.801111
Test 34, loss: 1.529601, test acc: 0.897083, test avg acc: 0.849599
Train 35, loss: 1.639176, train acc: 0.868485, train avg acc: 0.797768
Test 35, loss: 1.523759, test acc: 0.896272, test avg acc: 0.838081
Train 36, loss: 1.636164, train acc: 0.871234, train avg acc: 0.804137
Test 36, loss: 1.509112, test acc: 0.902755, test avg acc: 0.839291
Train 37, loss: 1.627256, train acc: 0.875916, train avg acc: 0.810202
Test 37, loss: 1.528256, test acc: 0.893841, test avg acc: 0.841674
Train 38, loss: 1.622959, train acc: 0.872659, train avg acc: 0.805693
Test 38, loss: 1.544345, test acc: 0.900324, test avg acc: 0.861000
Train 39, loss: 1.616323, train acc: 0.880497, train avg acc: 0.818253
Test 39, loss: 1.539990, test acc: 0.896272, test avg acc: 0.850250
Train 40, loss: 1.616725, train acc: 0.880497, train avg acc: 0.816685
Test 40, loss: 1.526002, test acc: 0.900729, test avg acc: 0.846203
Train 41, loss: 1.613254, train acc: 0.883347, train avg acc: 0.823081
Test 41, loss: 1.513414, test acc: 0.908833, test avg acc: 0.855285
Train 42, loss: 1.604287, train acc: 0.884976, train avg acc: 0.823415
Test 42, loss: 1.532133, test acc: 0.886953, test avg acc: 0.829244
Train 43, loss: 1.614060, train acc: 0.881006, train avg acc: 0.819725
Test 43, loss: 1.533796, test acc: 0.893841, test avg acc: 0.864227
Train 44, loss: 1.594274, train acc: 0.887215, train avg acc: 0.825185
Test 44, loss: 1.511259, test acc: 0.902350, test avg acc: 0.852599
Train 45, loss: 1.602426, train acc: 0.887520, train avg acc: 0.833041
Test 45, loss: 1.520163, test acc: 0.901135, test avg acc: 0.849680
Train 46, loss: 1.602250, train acc: 0.884772, train avg acc: 0.824269
