Namespace(exp_name='train', dataset='modelnet40', batch_size=128, test_batch_size=128, epochs=1000, use_sgd=True, lr=1e-05, momentum=0.9, lr_drop=50, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.7, model_path='', resume='', ratio=8, use_conv=9, max_iter=6, output_dir='/home/kmyh/project/RST/checkpoints/path', checkpoint_path='/home/kmyh/project/RST/checkpoints/path/checkpoint.pth', start_epoch=0)
Using GPU : 0 from 2 devices
Train 0, loss: 3.371877, train acc: 0.214433, train avg acc: 0.095043
Test 0, loss: 2.934392, test acc: 0.321718, test avg acc: 0.201500
Train 1, loss: 2.826564, train acc: 0.396176, train avg acc: 0.199816
Test 1, loss: 2.640548, test acc: 0.418152, test avg acc: 0.282000
Train 2, loss: 2.602760, train acc: 0.478207, train avg acc: 0.272764
Test 2, loss: 2.417108, test acc: 0.520259, test avg acc: 0.371076
Train 3, loss: 2.475425, train acc: 0.528680, train avg acc: 0.319623
Test 3, loss: 2.227194, test acc: 0.629254, test avg acc: 0.459215
Train 4, loss: 2.370087, train acc: 0.567023, train avg acc: 0.364592
Test 4, loss: 2.173281, test acc: 0.635737, test avg acc: 0.475872
Train 5, loss: 2.300406, train acc: 0.602590, train avg acc: 0.409028
Test 5, loss: 2.082626, test acc: 0.703809, test avg acc: 0.562866
Train 6, loss: 2.241421, train acc: 0.630859, train avg acc: 0.450827
Test 6, loss: 2.022194, test acc: 0.714749, test avg acc: 0.578250
Train 7, loss: 2.206453, train acc: 0.643812, train avg acc: 0.463933
Test 7, loss: 1.955422, test acc: 0.760940, test avg acc: 0.628738
Train 8, loss: 2.151357, train acc: 0.668997, train avg acc: 0.492919
Test 8, loss: 1.938271, test acc: 0.748379, test avg acc: 0.615198
Train 9, loss: 2.131309, train acc: 0.674548, train avg acc: 0.498100
Test 9, loss: 1.904303, test acc: 0.766613, test avg acc: 0.616762
Train 10, loss: 2.101248, train acc: 0.695312, train avg acc: 0.528683
Test 10, loss: 1.881121, test acc: 0.777553, test avg acc: 0.646186
Train 11, loss: 2.067534, train acc: 0.707134, train avg acc: 0.547960
Test 11, loss: 1.880428, test acc: 0.778363, test avg acc: 0.657738
Train 12, loss: 2.049142, train acc: 0.716488, train avg acc: 0.558679
Test 12, loss: 1.838489, test acc: 0.800648, test avg acc: 0.693180
Train 13, loss: 2.023638, train acc: 0.731702, train avg acc: 0.578144
Test 13, loss: 1.817517, test acc: 0.809968, test avg acc: 0.694424
Train 14, loss: 2.010426, train acc: 0.731908, train avg acc: 0.584030
Test 14, loss: 1.823878, test acc: 0.794571, test avg acc: 0.671459
Train 15, loss: 1.997315, train acc: 0.739309, train avg acc: 0.588460
Test 15, loss: 1.780739, test acc: 0.809562, test avg acc: 0.699500
